,repo_id,time,first_treat,treat,ttc_d,count,id,post,y0_1,y0_2,y0_3,y0_4,age,size,watchers,forks,has_wiki
2775,18049133,4,5,1,40.29360626805884,141,311,0,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2776,18049133,5,5,1,4.35486125312429,163,311,1,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2777,18049133,6,5,1,1.5483092279309383,133,311,1,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2778,18049133,7,5,1,11.08096450617284,96,311,1,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2779,18049133,8,5,1,7.881032890720391,91,311,1,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2780,18049133,9,5,1,22.523270626036485,67,311,1,110.66410043441019,86.48120463551476,86.19964531224947,40.29360626805884,694.9096643518518,3714,28222,5888,False
2781,18280236,1,7,0,32.05870687279541,84,312,0,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
2782,18280236,2,7,0,43.100012386289805,57,312,0,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
2783,18280236,3,7,0,43.24137268518518,60,312,0,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
2784,18280236,4,7,0,36.24798752258356,41,312,0,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
2785,18280236,5,7,0,31.69042692550505,44,312,1,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
2786,18280236,6,7,0,19.088602653133904,104,312,1,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
2787,18280236,7,7,0,36.79496450617284,30,312,1,32.05870687279541,43.100012386289805,43.24137268518518,36.24798752258356,687.8736574074074,8675,26165,3760,False
